Rank	Player ID	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
577	11902	Festa, David	MIN	P	586.07	462	724	-98.07	15	Cleveland Dustmites	488
578	11364	Sands, Cole	MIN	P	586.73	499	711		14		
579	11528	Gaddis, Hunter	CLE	P	586.73	520	642	39.27	15	Perfect Imperfection DC 2	626
580	9779	Kopech, Michael	LAD	P	587.13	511	738	75.87	15	Unregulated Nervous System DC1	663
581	12046	Melton, Jacob	HOU	OF	587.27	532	697	43.73	15	@steveymer	631
582	12489	Ingle, Cooper	CLE	C	588.67	498	658	-9.67	14	Rufe Too-Early-Meatball DC	579
583	11910	Ryan, River	LAD	P	589.00	541	611	-34.00	15	So Many Miles	555
584	10345	Myers, Tobias	MLW	P	589.80	488	677	-18.80	15	@steveymer	571
585	12288	Bergert, Ryan	KC	P	591.93	539	674	-121.93	15	@gmarti12	470
586	11223	Vierling, Matt	DET	OF	592.87	476	667	-14.87	15	Cleveland Dustmites	578
587	10853	Baker, Bryan	TB	P	594.07	466	678	32.93	15	Dommy Meatballs	627
588	12279	Garcia, Jhostynxon	PIT	OF	596.07	465	702		11		
589	12249	Young, Cole	SEA	2B	597.13	487	748	2.87	15	@steveymer	600
590	9175	Houser, Adrian	TB	P	598.87	505	685	-34.87	15	@ven_armbarn	564
591	12144	Del Castillo, Adrian	ARZ	UT	600.07	529	686	-101.07	15	KCBubba Meatball	499
592	12473	Ritchie, JR	ATL	P	600.87	531	682	89.13	15	@steveymer	690
593	12098	Schneemann, Daniel	CLE	2B, 3B, OF	602.20	552	654	-75.20	15	@DOUGHBOYS	527
594	12406	Ritter, Ryan	COL	2B, SS	603.27	487	666	11.73	15	So Many Miles	615
595	11742	Davis, Henry	PIT	C	603.27	492	718	25.73	15	Bloom DC1 - Meatball	629
596	12592	Song, Sung-mun	FA	3B	604.27	435	738		14		
597	10234	Jackson, Jeremiah	BAL	OF	604.60	527	680	-144.60	14	The Robot DC1	460
598	9515	Alvarado, Jose	PHI	P	606.13	545	694		15		
599	10205	Valera, George	CLE	UT	607.27	529	720	-208.27	15	Rufe Too-Early-Meatball DC	399
600	11154	Morel, Christopher	MIA	OF	607.53	418	735	35.47	15	@Butlerj25	643
601	11678	Matos, Luis	SF	OF	607.67	505	728	11.33	15	KCBubba Meatball	619
602	11675	Martinez, Angel	CLE	2B, OF	608.20	510	707		15		
603	10784	Vesia, Alex	LAD	P	608.20	433	716	26.80	14	Perfect Imperfection DC 2	635
604	11650	Harris, Hogan	ATH	P	609.07	482	732		15		
605	12369	Lord, Brad	WAS	P	611.33	545	661	-2.33	15	Rufe Too-Early-Meatball DC	609
606	8979	Moncada, Yoan	LAA	3B	613.87	547	687	-90.87	15	@Butlerj25	523
607	11988	Teng, Kai-Wei	SF	P	615.27	526	671	-56.27	14	KCBubba Meatball	559
608	10444	Moore, Dylan	TEX	2B, OF	617.33	484	697	-102.33	14	Perfect Imperfection DC 2	515
609	9475	Gurriel Jr., Lourdes	ARZ	OF	618.40	555	698	100.60	14	Bloom DC1 - Meatball	719
610	12476	Culpepper, Kaelen	MIN	SS	618.67	489	694	32.33	15	The Robot DC1	651
611	10748	Griffin, Foster	TOR	P	619.67	179	733		14		
612	10226	McCarthy, Jake	ARZ	OF	620.47	505	677	74.53	14	Perfect Imperfection DC 2	695
613	11614	Acuna, Luisangel	NYM	2B	622.27	516	667	-73.27	15	Rufe Too-Early-Meatball DC	549
614	8808	Yates, Kirby	LAD	P	623.27	530	698	-35.27	15	@Butlerj25	588
615	12440	Gilbert, Drew	SF	OF	623.93	518	734		15		
616	10308	Sandoval, Patrick	BOS	P	626.47	564	691	-53.47	15	Unregulated Nervous System DC1	573
617	10842	Lee, Dylan	ATL	P	628.33	452	726	49.67	14	@Butlerj25	678
618	10640	Civale, Aaron	CHC	P	629.27	510	735	59.73	14	Bloom DC1 - Meatball	689
619	11516	Massey, Michael	KC	2B	629.73	515	671	-11.73	14	@Butlerj25	618
620	11920	Hernaiz, Darell	ATH	3B, SS	631.13	555	681	-32.13	14	Bloom DC1 - Meatball	599
621	12360	Barco, Hunter	PIT	P	631.33	535	691	-46.33	15	So Many Miles	585
622	10499	Lawrence, Justin	PIT	P	631.60	520	737		14		
623	8280	Quintana, Jose	MLW	P	633.80	566	720	-85.80	15	Cleveland Dustmites	548
624	12486	Gibson, Trey	BAL	P	636.60	586	703	-59.60	14	@ven_armbarn	577
625	10225	Fraley, Jake	TB	OF	637.47	506	714	-5.47	15	Bloom DC1 - Meatball	632
626	12496	Rada, Nelson	LAA	OF	642.20	581	744	56.80	15	Rufe Too-Early-Meatball DC	699
627	12307	Ward, Ryan	LAD	OF	643.73	559	696		13		
628	12209	Dollander, Chase	COL	P	644.60	549	744	-92.60	14	KCBubba Meatball	552
629	12231	Freeland, Alex	LAD	3B	645.80	582	673	-85.80	13	@gmarti12	560
630	9205	Strahm, Matt	PHI	P	648.07	570	694	60.93	14	KCBubba Meatball	709
631	12219	Fernandez, Yanquiel	COL	OF	649.33	540	697		14		
632	11984	Perales, Luis	WAS	P	652.33	508	748	61.67	12	@ven_armbarn	714
633	12300	Osuna, Alejandro	TEX	OF	653.07	466	734	-113.07	14	@steveymer	540
634	12197	Schultz, Noah	CWS	P	653.47	575	705	-120.47	13	Cleveland Dustmites	533
635	11587	Stone, Gavin	LAD	P	654.60	590	737	-71.60	14	@Butlerj25	583
636	10362	Benson, Will	CIN	OF	657.40	560	729	-161.40	14	So Many Miles	496
637	11375	Weiss, Ryan	HOU	P	657.67	533	746		13		
638	10112	Means, John	CLE	P	658.67	575	744	-36.67	14	Rufe Too-Early-Meatball DC	622
639	11956	Whisenhunt, Carson	SF	P	659.73	565	750	-47.73	13	KCBubba Meatball	612
640	11810	Mlodzinski, Carmen	PIT	P	659.93	561	745	-14.93	15	So Many Miles	645
641	9838	Dominguez, Seranthony	TOR	P	660.00	581	734	26.00	15	Perfect Imperfection DC 2	686
642	11289	Fortes, Nick	TB	C	661.53	554	747	-56.53	13	Perfect Imperfection DC 2	605
643	11531	Grissom, Vaughn	LAA	2B	661.67	444	727		8		
644	11605	Tiedemann, Ricky	TOR	P	662.20	557	702	45.80	12	@Butlerj25	708
645	10485	France, Ty	TOR	1B	662.47	597	749		14		
646	8807	Rojas, Miguel	LAD	3B, 2B, SS	663.40	559	741	21.60	14	Bronx Yankees DC1	685
647	9028	Lorenzen, Michael	KC	P	663.53	593	738	-157.53	13	Perfect Imperfection DC 2	506
648	8212	Sanchez, Gary	BAL	C	664.07	541	712	-97.07	10	Dommy Meatballs	567
649	12512	Bratt, Mitch	ARZ	P	664.93	586	716	59.07	14	Dommy Meatballs	724
650	12484	Jump, Gage	ATH	P	666.67	584	740	-194.67	13	Rufe Too-Early-Meatball DC	472
651	12415	Fuentes, Didier	ATL	P	667.20	585	710	-165.20	12	Rufe Too-Early-Meatball DC	502
652	12517	McDougal, Tanner	CWS	P	667.27	541	736	68.73	14	So Many Miles	736
653	11307	Elder, Bryce	ATL	P	667.53	481	731	-264.53	14	@Butlerj25	403
654	11952	Loperfido, Joey	TOR	OF	667.67	562	746	-132.67	15	Bronx Yankees DC1	535
655	10524	Akin, Keegan	BAL	P	668.40	504	698	-16.40	9	Rufe Too-Early-Meatball DC	652
656	9764	Buehler, Walker	PHI	P	669.93	582	739	63.07	13	@Butlerj25	733
657	10937	Wong, Connor	BOS	C	670.00	567	740		12		
658	12501	Rodriguez, Jesus	SF	C	670.20	576	734		13		
659	12483	Anderson, Kade	SEA	P	670.60	556	723		13		
660	12220	Klassen, George	LAA	P	670.60	555	745	49.40	12	@steveymer	720
661	12514	Valdez, Esmerlyn	PIT	OF	670.67	513	724		11		
662	11954	Pauley, Graham	MIA	3B	672.20	594	733		14		
663	12493	Pecko, Ethan	HOU	P	672.47	636	715	32.53	13	So Many Miles	705
664	10304	Jones, Nolan	CLE	OF	673.27	579	734	-37.27	13	Bronx Yankees DC1	636
665	12213	Bradfield, Enrique	BAL	OF	674.53	561	728	46.47	12	@steveymer	721
666	10838	Bleday, JJ	ATH	OF	677.87	559	741	-124.87	11	@Butlerj25	553
667	11412	Allen, Logan	CLE	P	678.00	539	715	-96.00	11	KCBubba Meatball	582
668	9583	Anderson, Drew	DET	P	678.13	484	723		8		
669	12034	Crim, Blaine	COL	1B	678.40	575	743		12		
670	11846	Young, Jacob	WAS	OF	678.47	614	738		13		
671	9894	Estrada, Thairo	COL	2B	678.73	580	722	-115.73	11	Cleveland Dustmites	563
672	7538	Flores, Wilmer	SF	1B	679.93	541	740		11		
673	9500	Rosario, Amed	NYY	3B	680.20	533	746	-13.20	11	@ven_armbarn	667
674	11584	Rodriguez, Endy	PIT	1B	680.93	550	704		10		
675	10955	Walls, Taylor	TB	SS	681.87	641	713	-21.87	14	@steveymer	660
676	10688	Speier, Gabe	SEA	P	682.20	558	748	58.80	11	The Robot DC1	741
677	11403	Jameson, Drey	ARZ	P	682.53	571	743	64.47	13	Dommy Meatballs	747
678	11941	Bliss, Ryan	SEA	2B	682.60	579	725		12		
679	12491	Lagrange, Carlos	NYY	P	682.93	544	682	34.07	7	Dommy Meatballs	717
680	8659	McCullers Jr., Lance	HOU	P	683.27	542	732		12		
681	11557	Cruz, Fernando	NYY	P	684.80	493	720	7.20	11	Bloom DC1 - Meatball	692
682	12511	Anderson, Max	DET	2B	685.47	555	735	32.53	11	Unregulated Nervous System DC1	718
683	10976	Irvin, Jake	WAS	P	685.53	571	729	-151.53	8	@ven_armbarn	534
684	12210	Roden, Alan	MIN	OF	685.80	612	731	-198.80	11	@ven_armbarn	487
685	10445	Urias, Ramon	HOU	2B, 3B	686.00	589	747	-112.00	12	Dommy Meatballs	574
686	11876	Kerkering, Orion	PHI	P	686.07	599	745	-17.07	13	Rufe Too-Early-Meatball DC	669
687	11470	Martin, Davis	CWS	P	687.00	560	748	-48.00	13	Rufe Too-Early-Meatball DC	639
688	12392	Tidwell, Blade	SF	P	688.20	459	749		11		
689	8633	Harvey, Hunter	KC	P	688.33	577	738	-0.33	11	Unregulated Nervous System DC1	688
690	10025	Adam, Jason	SD	P	689.73	512	745	35.27	11	Perfect Imperfection DC 2	725
691	9892	Soto, Gregory	PIT	P	690.20	476	733		7		
692	11547	Assad, Javier	CHC	P	690.53	590	750	-34.53	14	Perfect Imperfection DC 2	656
693	12131	Hopkins, Brody	TB	P	690.53	618	748	-14.53	12	So Many Miles	676
694	8689	Matz, Steven	TB	P	690.87	474	749		10		
695	10839	Encarnacion, Jerar	SF	OF	691.00	479	734		10		
696	11651	Bernabel, Warming	COL	1B	692.27	579	662	-21.27	7	@gmarti12	671
697	11370	Duran, Ezequiel	TEX	1B, SS	692.47	570	738		13		
698	10406	Alcantara, Kevin	CHC	OF	692.93	626	746	-141.93	11	@gmarti12	551
699	9938	Kinley, Tyler	ATL	P	694.47	584	749	-158.47	10	Perfect Imperfection DC 2	536
700	10662	Ginkel, Kevin	ARZ	P	696.93	519	741	45.07	9	Rufe Too-Early-Meatball DC	742
701	12498	Johnson, Ty	TB	P	697.00	593	742	-95.00	13	Bloom DC1 - Meatball	602
702	9734	Minter, A.J.	NYM	P	699.40	584	730		9		
703	11417	Ashcraft, Graham	CIN	P	699.40	567	695	-20.40	8	KCBubba Meatball	679
704	12196	Smith, Hagen	CWS	P	699.73	531	744		9		
705	9698	Tauchman, Mike	CWS	OF	700.40	591	735	-76.40	10	@ven_armbarn	624
706	9880	Tellez, Rowdy	TEX	1B	700.53	631	739		10		
707	11916	Rodriguez, Yariel	TOR	P	702.47	645	743		11		
708	11262	Pozo, Yohel	STL	C	703.07	535	746		9		
709	11719	Perkins, Blake	MLW	OF	703.07	545	747	22.93	10	Bronx Yankees DC1	726
710	12519	Crow, Coleman	MLW	P	703.40	549	716		7		
711	12352	Made, Jesus	MLW	SS	703.47	581	734		8		
712	10725	Rogers, Tyler	TOR	P	703.53	362	716		5		
713	8897	McCann, James	ARZ	C	703.67	611	730		8		
714	8954	Conforto, Michael	LAD	OF	703.93	634	718	-259.93	11	@ven_armbarn	444
715	11680	Winn, Keaton	SF	P	705.73	522	715		5		
716	8895	Garcia, Yimi	TOR	P	706.40	558	743	-10.40	11	Bronx Yankees DC1	696
717	11399	Outman, James	MIN	OF	706.53	633	710		10		
718	12475	Clifford, Ryan	NYM	1B	706.73	643	719		9		
719	10415	Luciano, Marco	PIT	SS	708.27	605	749		8		
720	12164	Zeferjahn, Ryan	LAA	P	708.60	588	719		7		
721	12299	De Vries, Leodalis	SD	SS	709.07	617	712		9		
722	12485	Ortiz, Abimelec	TEX	1B	709.13	616	734	17.87	9	@ven_armbarn	727
723	9600	Torrens, Luis	NYM	C	709.33	587	739	38.67	10	Unregulated Nervous System DC1	748
724	12340	Alvarado, Elvis	ATH	P	709.47	422	737	-65.47	7	@DOUGHBOYS	644
725	11645	Hamilton, David	BOS	2B	710.00	573	750	-96.00	8	@DOUGHBOYS	614
726	11043	Campusano, Luis	SD	UT	710.00	600	746	-8.00	11	KCBubba Meatball	702
727	9648	Leiter Jr., Mark	ATH	P	710.27	506	671		4		
728	12111	King, Bryan	HOU	P	710.33	242	737		3		
729	11762	Flores, Rafael	PIT	1B	710.67	639	734		10		
730	11874	Fitzgerald, Tyler	SF	2B	710.73	554	742		9		
731	9549	Garver, Mitch	SEA	C	710.93	587	718		8		
732	9807	Yarbrough, Ryan	NYY	P	711.20	659	728		10		
733	11904	Vasil, Mike	CWS	P	711.33	550	744	-69.33	12	KCBubba Meatball	642
734	12521	Montgomery, Braden	CWS	OF	711.33	612	740		8		
735	11126	Topa, Justin	MIN	P	711.67	619	750	34.33	11	Perfect Imperfection DC 2	746
736	11980	Hodge, Porter	CHC	P	712.33	614	740		9		
737	12171	Dana, Caden	LAA	P	713.13	626	739		7		
738	10854	Manoah, Alek	LAA	P	713.60	583	745		7		
739	10926	Espino, Daniel	CLE	P	713.73	634	741	-166.73	9	@ven_armbarn	547
740	11797	Monasterio, Andruw	MLW	SS	713.87	602	749		7		
741	11856	Saalfrank, Andrew	ARZ	P	713.87	563	750		8		
742	11789	Fry, David	CLE	UT	714.60	652	743		9		
743	12534	Ward, Braiden	COL	OF	718.60	409	607	-18.60	2	The Robot DC1	700
744	11350	Diaz, Alexis	TEX	P	718.80	481	716		4		
745	12186	Henriquez, Edgardo	LAD	P	719.00	560	746	-65.00	6	@ven_armbarn	654
746	11615	De Los Santos, Deyvison	MIA	1B	719.13	602	750		10		
747	10259	Gray, Josiah	WAS	P	719.27	585	749		7		
748	11130	Francis, Bowden	TOR	P	719.53	642	733	-215.53	8	@ven_armbarn	504
749	10187	Hall, DL	MLW	P	719.60	633	747		9		
750	11677	Vasquez, Randy	SD	P	719.80	635	700	-149.80	6	@steveymer	570
751	10408	Isbel, Kyle	KC	OF	719.87	631	750		9		
752	11592	Julien, Edouard	MIN	1B, 2B	720.00	630	750		9		
753	11621	Montgomery, Mason	TB	P	720.27	583	748		8		
754	8919	Pham, Tommy	PIT	OF	721.13	627	718		7		
755	11459	Holton, Tyler	DET	P	721.20	483	572	-18.20	2	@Butlerj25	703
756	9644	Jimenez, Joe	ATL	P	721.67	640	739	-153.67	8	Unregulated Nervous System DC1	568
757	11847	Wicks, Jordan	CHC	P	721.80	483	744	-114.80	3	@ven_armbarn	607
758	12348	Susana, Jarlin	WAS	P	722.20	615	750		7		
759	11165	Bazardo, Eduard	SEA	P	722.80	647	723	-18.80	8	@DOUGHBOYS	704
760	12008	Slaten, Justin	BOS	P	723.53	478	721		4		
761	8756	Treinen, Blake	LAD	P	723.60	618	750	21.40	6	Bronx Yankees DC1	745
762	11820	Myers, Dane	MIA	OF	724.27	657	711	-116.27	6	Cleveland Dustmites	608
763	12290	Acosta, Maximo	MIA	3B	724.33	612	741		5		
764	11489	Koenig, Jared	MLW	P	724.67	528	728		3		
765	12538	Long, Jonathon	CHC	1B	725.07	646	735		6		
766	12503	Susac, Daniel	SF	C	725.13	424	735		3		
767	11073	Miller, Bobby	LAD	P	725.53	628	741		9		
768	12487	Doyle, Liam	STL	P	725.67	653	741		9		
769	12296	Dreyer, Jack	LAD	P	725.73	627	716		5		
770	11080	Toglia, Michael	COL	1B	725.73	592	736	-181.73	4	Dommy Meatballs	544
771	11961	Montero, Keider	DET	P	726.40	646	747		6		
772	10223	Jones, Jahmai	DET	OF	726.67	616	737		5		
773	8947	Newcomb, Sean	ATH	P	727.47	584	725		5		
774	12387	Morgan, David	SD	P	727.73	578	673		3		
775	11994	Corniell, Jose	TEX	P	727.93	635	745		6		
776	12518	Alderman, Kemp	MIA	OF	728.53	664	745		7		
777	12488	Briceno, Josue	DET	C	729.13	623	739	-17.13	5	Rufe Too-Early-Meatball DC	712
778	11423	Henry, Cole	WAS	P	729.47	604	708		4		
779	11090	Paris, Kyren	LAA	OF	729.67	668	740	9.33	8	KCBubba Meatball	739
780	11771	Kjerstad, Heston	BAL	OF	729.93	665	747		7		
781	11975	Mejia, Juan	COL	P	729.93	682	714		6		
782	11442	Pallante, Andre	STL	P	730.20	663	738	18.80	7	Bloom DC1 - Meatball	749
783	11157	Gomez, Yoendrys	TB	P	730.60	629	704		4		
784	9862	Trevino, Jose	CIN	C	731.00	672	746	-70.00	8	@steveymer	661
785	10246	Wentz, Joey	ATL	P	731.67	651	742	-134.67	5	Dommy Meatballs	597
786	12206	Maxwell, Zach	CIN	P	732.33	665	731	17.67	6	@steveymer	750
787	11377	Suwinski, Jack	PIT	OF	732.60	600	740		4		
788	12159	Casparius, Ben	LAD	P	733.33	702	744	-78.33	8	Bronx Yankees DC1	655
789	11938	Thompson, Sterlin	COL	OF	733.33	648	740		6		
790	12155	Sweeney, Trey	DET	SS	733.33	636	728	-68.33	4	Perfect Imperfection DC 2	665
791	12428	Freeman, Cody	TEX	2B	734.40	626	727	-28.40	3	So Many Miles	706
792	12129	Alvarez Jr., Nacho	ATL	3B	734.47	670	725		5		
793	12377	Williamson, Ben	SEA	3B	734.80	686	721		5		
794	12167	Sabrowski, Erik	CLE	P	734.87	509	509		1		
795	11969	Herz, DJ	WAS	P	735.20	609	741		3		
796	8272	Corbin, Patrick	TEX	P	735.40	654	746	-206.40	5	KCBubba Meatball	529
797	11148	Sugano, Tomoyuki	BAL	P	735.67	662	748	-196.67	4	Bloom DC1 - Meatball	539
798	11382	Noel, Jhonkensy	CLE	OF	735.87	632	643		2		
799	11978	Mena, Cristian	ARZ	P	736.33	678	744		6		
800	12500	Davalillo, David	TEX	P	736.40	668	742		5		
801	10295	Pearson, Nate	HOU	P	736.47	673	748		5		
802	9828	Wynns, Austin	ATH	C	736.47	659	716		3		
803	12223	Young, Brandon	BAL	P	736.53	607	678		2		
804	10165	Schmidt, Clarke	NYY	P	736.73	670	740		5		
805	10574	Alexander, Jason	HOU	P	736.80	671	745	-175.80	6	The Robot DC1	561
806	12423	Poulin, PJ	WAS	P	736.93	632	659		2		
807	12494	Bernal, Leonardo	STL	C	737.00	549	743		2		
808	9525	Enns, Dietrich	BAL	P	737.40	662	701	-56.40	3	The Robot DC1	681
809	12374	Tolbert, Tyler	KC	OF	737.87	631	745	-90.87	3	@DOUGHBOYS	647
810	9387	Frazier, Adam	KC	2B, OF	737.93	687	720		4		
811	12462	Guzman, Denzer	LAA	SS	737.93	605	735		3		
812	8189	Pomeranz, Drew	CHC	P	738.73	639	679	-61.73	2	@DOUGHBOYS	677
813	12232	Prielipp, Connor	MIN	P	738.80	692	746		6		
814	12354	Pratt, Cooper	MLW	SS	738.93	588	733		2		
815	12353	Lee, Hao-Yu	DET	3B	739.60	655	676		2		
816	10850	Adams, Riley	WAS	C	739.67	626	706		2		
817	12455	Farris, Mitch	LAA	P	739.80	605	729		2		
818	11205	Bender, Anthony	MIA	P	740.07	676	746		4		
819	12051	Wilken, Brock	MLW	3B	740.20	618	722		2		
820	10518	Romano, Jordan	PHI	P	740.27	679	737	-56.27	5	@ven_armbarn	684
821	10109	Straw, Myles	TOR	OF	740.27	650	722		3		
822	8835	Hernandez, Enrique	LAD	1B, 3B, OF	740.33	641	744	-67.33	4	@Butlerj25	673
823	10734	Phillips, Tyler	MIA	P	740.93	687	750		5		
824	12280	Dobbins, Hunter	BOS	P	741.00	671	741	-160.00	4	@gmarti12	581
825	11773	Brito, Juan	CLE	2B	741.00	678	731	-40.00	4	@gmarti12	701
826	12030	Rodriguez, Hector	CIN	OF	741.27	696	749		5		
827	11776	Fermin, Jose	STL	2B	741.27	698	727	-120.27	4	The Robot DC1	621
828	12444	Church, Nathan	STL	OF	741.47	685	748		4		
829	10425	Palacios, Richie	TB	OF	741.67	678	720	-166.67	3	Perfect Imperfection DC 2	575
830	10274	Taveras, Leody	BAL	OF	741.80	685	726		3		
831	10197	Pereira, Everson	CWS	OF	742.27	677	694		2		
832	11468	Silseth, Chase	LAA	P	742.40	649	724		2		
833	12445	Peguero, Joel	SF	P	742.40	673	743		4		
834	10531	Rogers, Jake	DET	C	742.53	677	739		4		
835	12609	Alberto, Alexander	CWS	P	742.60	641	735		2		
836	11156	Peraza, Oswald	LAA	3B	742.67	689	722		3		
837	12358	Rincones Jr., Gabriel	PHI	OF	742.80	699	717		3		
838	10442	Webb, Jacob	TEX	P	742.80	628	628		1		
839	11172	Zerpa, Angel	KC	P	742.93	630	630		1		
840	9642	Sewald, Paul	DET	P	743.00	631	631		1		
841	10661	Clase, Emmanuel	CLE	P	743.07	660	723	-171.07	2	Bloom DC1 - Meatball	572
842	12600	Paez, Jedixson	CWS	P	743.13	685	729		3		
843	11573	Young, Jared	NYM	UT	743.13	655	729		2		
844	12540	Drake, Kohl	ARZ	P	743.20	661	724		2		
845	12208	Evans, Logan	SEA	P	743.27	699	750	-73.27	5	The Robot DC1	670
846	12427	Cortes, Carlos	ATH	OF	743.27	696	741		5		
847	12505	Arnold, Jamie	ATH	P	743.53	654	736		2		
848	10346	Gonsolin, Tony	LAD	P	743.53	687	748		3		
849	12492	Saiki, Hiroto	FA	P	743.60	670	721		2		
850	12378	Fulford, Braxton	COL	C	743.80	682	744		3		
851	11945	Teodo, Emiliano	TEX	P	743.80	643	643	-11.80	1	KCBubba Meatball	732
852	10857	Allen, Nick	HOU	SS	743.87	644	644		1		
853	10691	Heineman, Tyler	TOR	C	743.87	662	733		2		
854	11784	Scholtens, Jesse	TB	P	743.87	646	749		2		
855	11890	Black, Tyler	MLW	1B	743.93	681	715		2		
856	12382	Gibson, Cade	MIA	P	744.07	647	647		1		
857	12221	Agnos, Zach	COL	P	744.07	647	647		1		
858	10209	Canning, Griffin	NYM	P	744.53	695	731	-29.53	3	Bronx Yankees DC1	715
859	12049	Locklear, Tyler	ARZ	1B	744.87	661	749	-150.87	2	@ven_armbarn	594
860	11620	McGarry, Griff	WAS	P	745.00	717	726		3		
861	10161	Paddack, Chris	DET	P	745.07	702	747	-252.07	3	@Butlerj25	493
862	9589	Milner, Hoby	CHC	P	745.13	663	663		1		
863	12045	Petty, Chase	CIN	P	745.40	699	749		4		
864	12528	Torres, Bryan	STL	OF	745.47	714	745	-15.47	4	The Robot DC1	730
865	10873	Hancock, Emerson	SEA	P	745.67	690	732	-214.67	2	The Robot DC1	531
866	12421	Nunez, Eduarniel	ATH	P	745.67	671	671		1		
867	8929	Refsnyder, Rob	BOS	OF	745.67	701	743		3		
868	12595	Troy, Tommy	ARZ	2B	745.73	709	743		4		
869	9646	Montgomery, Jordan	MLW	P	745.73	678	745	-111.73	2	Dommy Meatballs	634
870	11617	Malloy, Justyn-Henry	DET	OF	745.80	673	673		1		
871	10645	Urquidy, Jose	DET	P	745.80	673	673		1		
872	12121	Orze, Eric	MIN	P	745.87	691	734		2		
873	12394	Fisher, Braydon	TOR	P	745.93	689	737		2		
874	12141	Hurter, Brant	DET	P	745.93	709	745		3		
875	9934	Cortes, Nestor	SD	P	746.00	676	676	-93.00	1	Cleveland Dustmites	653
876	12033	Hence, Tink	STL	P	746.13	708	741	-80.13	3	Bronx Yankees DC1	666
877	11936	Takahashi, Kona	FA	P	746.33	709	723		2		
878	9290	Okert, Steven	HOU	P	746.40	704	729		2		
879	12522	Perez, Junior	ATH	OF	746.67	714	723	-11.67	2	So Many Miles	735
880	12145	Dezenzo, Zach	HOU	OF	746.67	691	746	-133.67	2	@Butlerj25	613
881	11689	Headrick, Brent	NYY	P	746.73	707	747		3		
882	6696	McCutchen, Andrew	PIT	UT	746.73	717	738		3		
883	12270	Lugo, Matthew	LAA	OF	746.80	688	688	-3.80	1	Cleveland Dustmites	743
884	12525	Stephen, Khal	CLE	P	746.87	716	724		2		
885	7867	Iglesias, Jose	SD	SS, 2B, 3B	746.93	690	690		1		
886	11536	Nardi, Andrew	MIA	P	746.93	690	690		1		
887	10060	Festa, Matt	CLE	P	747.07	692	692		1		
888	8222	Sano, Miguel	LAA	3B	747.13	693	693		1		
889	10007	McCormick, Chas	HOU	OF	747.27	695	695		1		
890	12106	Bivens, Spencer	SF	P	747.27	695	695		1		
891	9907	Siri, Jose	NYM	OF	747.47	727	743		3		
892	12368	Johnson, Ryan	LAA	P	747.53	708	742		2		
893	12497	Reimer, Jacob	NYM	3B	747.60	700	700	-18.60	1	Rufe Too-Early-Meatball DC	729
894	8363	Raley, Brooks	NYM	P	747.60	707	744		2		
895	10910	Mears, Nick	MLW	P	747.60	700	700		1		
896	8969	Arroyo, Christian	BOS	2B	747.80	703	703		1		
897	11849	Millas, Drew	WAS	C	747.87	704	704		1		
898	8211	d'Arnaud, Travis	LAA	C	747.93	721	735	-99.93	2	@Butlerj25	648
899	12537	Gonzalez, Gabriel	MIN	OF	747.93	705	705		1		
900	12447	Brown, McCade	COL	P	748.07	707	707		1		
901	12370	Koss, Christian	SF	2B	748.13	708	708		1		
902	11427	Schuemann, Max	ATH	2B, 3B, SS	748.13	709	750	-32.13	2	Perfect Imperfection DC 2	716
903	12332	Morgan, Tre'	TB	1B	748.20	709	709		1		
904	8452	Pressly, Ryan	CHC	P	748.33	711	711		1		
905	11850	Funderburk, Kody	MIN	P	748.33	711	711		1		
906	12004	Fernandez, Ryan	STL	P	748.40	712	712		1		
907	12380	Morillo, Juan	ARZ	P	748.47	713	713		1		
908	12390	Thomas, Rhylan	SEA	OF	748.47	713	713		1		
909	12454	Alvarez, Andrew	WAS	P	748.67	717	750		2		
910	12283	Seymour, Carson	SF	P	748.80	718	718		1		
911	12269	Hoglund, Gunnar	ATH	P	748.87	719	719	-76.87	1	KCBubba Meatball	672
912	12607	Baumler, Carter	TEX	P	749.00	725	747		2		
913	9524	Mateo, Jorge	BAL	SS	749.00	721	721	-15.00	1	@DOUGHBOYS	734
914	12546	White, Josh	MIA	P	749.13	732	742		2		
915	12048	Hill, Jaden	COL	P	749.13	725	749		2		
916	12123	Gordon, Tanner	COL	P	749.20	724	724		1		
917	12582	Areinamo, Jadher	TB	SS	749.27	725	725		1		
918	12495	Bolte, Henry	ATH	OF	749.27	725	725		1		
919	11929	Jung, Jace	DET	3B	749.33	726	726		1		
920	12153	Ribalta, Orlando	WAS	P	749.47	728	728		1		
921	12596	Furman, Nate	SF	2B	749.47	728	728		1		
922	12559	Valencia, Eduardo	DET	C	749.47	728	728		1		
923	10483	Burke, Brock	LAA	P	749.60	730	730		1		
924	10247	Rodriguez, Johnathan	CLE	OF	749.60	730	730	-129.60	1	@gmarti12	620
925	12543	Bennett, Jake	WAS	P	749.67	740	742		2		
926	7514	Santana, Carlos	CHC	1B	749.73	732	732		1		
927	10193	Ruiz, Esteury	LAD	OF	749.73	732	732		1		
928	8645	Johnson, Pierce	ATL	P	749.87	734	734		1		
929	11515	Eaton, Nate	BOS	OF	750.00	736	736		1		
930	12593	Forret, Michael	BAL	P	750.00	736	736		1		
931	10960	Thompson, Ryan	ARZ	P	750.00	738	749		2		
